,Lat/Lon,Total
0,"(-0.193180,-74.784874)",1732
1,"(-3.790089,-70.356599)",22
2,"(-4.197703,-69.941278)",66431
3,"(-4.223468,-69.945098)",15677
4,"(0.25129,-76.875963)",45633
5,"(0.812436,-77.847006)",941
6,"(0.814836,-77.662532)",1070789
7,"(1.397318,-77.290564)",29
8,"(1.812361,-78.751529)",10
9,"(1.813928,-78.763924)",14186
10,"(10.408582,-75.538003)",215613
11,"(10.433609,-73.247863)",707
12,"(10.445761,-75.516429)",2422278
13,"(10.886611,-74.776708)",423106
14,"(10.971302,-74.765397)",8250
15,"(11.117806,-74.232622)",13973
16,"(11.247723,-74.213989)",12536
17,"(11.360009,-72.129330)",927116
18,"(11.528919,-72.919681)",3903
19,"(12.165168,-71.983761)",192
20,"(12.2205723,-71.989035)",2
21,"(12.5744111,-81.703935)",5148
22,"(12.586067,-81.702563)",279243
23,"(13.3387613,-81.372937)",2565
24,"(2.947286,-75.29321)",9
25,"(3.541112,-76.384584)",1113563
26,"(3.866713,-67.927521)",4046
27,"(3.893038,-77.067921)",14121
28,"(4.077098,-73.565239)",1
29,"(4.16909,-73.612469)",25
30,"(4.253669,-74.642361)",395
31,"(4.424712,-75.139263)",48
32,"(4.452882,-75.766298)",58152
33,"(4.697144,-74.140516)",17210990
34,"(4.815061,-75.736532)",120292
35,"(6.17134,-75.427194)",335
36,"(6.171601,-75.427454)",3249039
37,"(6.18189,-67.47535)",830
38,"(6.185799,-67.483929)",36845
39,"(6.228046,-77.404104)",596
40,"(7.088729,-70.740253)",91888
41,"(7.102626,-77.762647)",801
42,"(7.128456,-73.183637)",42468
43,"(7.818934,-72.453226)",2420426
44,"(7.916725,-72.462544)",71749
45,"(7.927209,-72.507910)",68642
46,"(8.066966,-76.735404)",397
47,"(8.36068,-72.409396)",155532
48,"(8.364293,-72.405710)",28331
49,"(8.635765,-77.346578)",23884
50,"(9.402978,-75.681599)",2264
51,"No Aplica,No Aplica",106
